listing_id,fit_init,variability_init,activity_init,reviews_pq,price_log,superhost,amenity_count,sentiment,entry_qtr,lifetime,censored,district,is_tourist,entry_q
11214814,1.247105285,0.1960639421825246,7.70925671738885,11.5,5.755742213586912,1,17.0,0.02854904661673285,2023Q2,4,0,Yau Tsim Mong,1,2023Q2
11554601,0.6520388225,0.2267560461010012,7.708278956743698,7.5,,1,24.0,0.029409944860691074,2023Q3,7,0,Yau Tsim Mong,1,2023Q3
11554702,1.154741025,0.1927699246226586,7.710395050349049,9.25,,1,24.0,0.05130892488580325,2023Q2,8,0,Yau Tsim Mong,1,2023Q2
11574010,1.3097792333333331,0.104015076623932,7.716383120264647,5.5,6.025865973825314,1,27.0,0.03256699765061645,2023Q4,7,1,Yau Tsim Mong,1,2023Q4
11595618,0.4599168175,0.2527671497914679,7.711517204825148,6.75,6.666956792429207,0,29.0,0.04268055849439575,2023Q2,9,1,Yau Tsim Mong,1,2023Q2
12800443,0.96528924,0.1111802742278948,5.1044556532320335,4.5,7.515344571180436,1,58.0,0.026457523717061802,2023Q3,2,0,Islands,0,2023Q3
13161138,1.0361308,0.0396409919165071,5.252262793558198,14.0,,0,19.0,0.050805651493975645,2021Q1,8,0,Islands,0,2021Q1
13552159,1.4312764,0.152402004694754,7.712980959025476,3.5,5.948034989180646,1,28.0,0.0299571957558441,2023Q2,8,0,Yau Tsim Mong,1,2023Q2
13552945,1.2889403000000001,0.0955095815592243,7.716662850797361,4.75,6.173786103901937,0,14.0,0.0529820333836983,2023Q4,7,1,Yau Tsim Mong,1,2023Q4
13754069,1.3108084999999998,0.1015671077930128,7.417828418148145,5.5,6.51025834052315,1,25.0,0.04494931178851558,2023Q1,10,1,Yau Tsim Mong,1,2023Q1
14286058,0.44012656666666666,0.2632160343708057,6.296031264247774,9.0,5.662960480135946,0,12.0,0.0081550068959489,2022Q3,12,1,Yau Tsim Mong,1,2022Q3
14750253,1.208110165,0.4148579101157337,7.706924759147824,17.0,,0,26.0,0.0264480917890738,2023Q2,9,1,Yau Tsim Mong,1,2023Q2
14921296,0.92351048,0.0964000153573581,7.712093374568814,5.5,5.58724865840025,0,14.0,0.0370784349672276,2023Q2,9,1,Yau Tsim Mong,1,2023Q2
14935889,1.0734128666666667,0.2182350227705226,7.708289954129661,7.5,,0,14.0,0.026376115602102103,2023Q3,8,1,Yau Tsim Mong,1,2023Q3
16005093,0.97323165,0.0649573729541243,3.8050700488128095,4.75,6.52795791762255,1,18.0,0.030172720111862627,2022Q2,7,0,Wan Chai,1,2022Q2
16056283,1.000347515,0.1446651083734394,5.249967729860737,14.75,6.214608098422191,1,22.0,0.056820503282678625,2021Q1,8,0,Islands,0,2021Q1
16225498,1.1689956333333333,0.122777007121165,5.9807095375248815,5.75,6.2166061010848646,0,36.0,0.04511347473859825,2023Q2,5,0,Wan Chai,1,2023Q2
16289122,1.0020573725,0.150442554128668,5.249501924331616,15.0,6.214608098422191,1,21.0,0.0551227574080017,2021Q1,7,0,Islands,0,2021Q1
16400244,0.5190345366666667,0.0262548794443994,7.708944119621175,13.25,5.159055299214529,1,12.0,0.00539958407605465,2023Q2,9,1,Yau Tsim Mong,1,2023Q2
16461414,0.7796181233333334,0.1705752341037794,7.709539781218232,5.0,5.762051382780177,0,17.0,0.04141540222863125,2023Q3,7,0,Yau Tsim Mong,1,2023Q3
